account_id,entity_id,account_number,program_id,available_balance,bank_code
89446e26-3121-bec7-919f-179e48fdc819,f29e8777-0b21-2e81-d12e-66dca2eba838,56101867399596,4,-11111317.64,AUBL
11b8c383-bd68-24b3-3fab-42fe82efd3ec,f29e8777-0b21-2e81-d12e-66dca2eba838,33270146033386,21,-32776915.14,AUBL
ea6e4148-2ceb-1802-4a32-918855c5a1d5,f29e8777-0b21-2e81-d12e-66dca2eba838,69663200638322,21,-4406025.86,AUBL
df097f1a-39c4-108e-56d6-a273068a3d23,3db03f62-7e3a-b901-c335-4e89df68b60c,20680963037096,46,103329744.23,HDFC
91444791-cfde-7572-8de5-a8ffd87fc184,082b5295-2e76-ae05-a26e-6c909289ab0e,94334628760345,46,60682836.84,TMBL
b5382d70-faa8-3354-48d7-c29fbb34b263,082b5295-2e76-ae05-a26e-6c909289ab0e,90525572354325,21,-29117512.71,TMBL
65b114e6-43c4-258b-9f32-599c85236ece,082b5295-2e76-ae05-a26e-6c909289ab0e,26737697788813,46,30902964.12,TMBL
caf77f13-ebdc-d15a-71fd-0aea51470569,082b5295-2e76-ae05-a26e-6c909289ab0e,39093929592859,21,-28260910.91,TMBL
71ec9279-e9cd-0ecb-9c3e-f0a6d7bd4845,1f6d1059-e39d-24fb-4541-c723725072d5,62887147718773,21,-66054705.55,AUBL
fd3a9ca7-c4f7-e649-27b6-053909083088,11510aee-3c9b-4fd6-cb93-bb2d252741a1,74625610297082,46,45780436.71,CNRB
10287267-23da-abc6-9fa0-bc21724694ee,11510aee-3c9b-4fd6-cb93-bb2d252741a1,49839041364423,46,51403713.87,AUBL
2c11fdda-4ca6-c5b6-ecbb-de25cd0bc3b5,11510aee-3c9b-4fd6-cb93-bb2d252741a1,24066218976487,21,46842090.04,CNRB
f80026f2-ad7e-4fcf-2294-96d9f3f62e20,11510aee-3c9b-4fd6-cb93-bb2d252741a1,19373634442258,21,-13794609.97,AUBL
49ed98a2-ffcc-d9d3-53d3-51cc405ce76a,11510aee-3c9b-4fd6-cb93-bb2d252741a1,99978880322290,46,-1671029.36,AUBL
4f87085d-d081-5c24-b18b-de43a69a7967,11510aee-3c9b-4fd6-cb93-bb2d252741a1,50981690929913,46,34990622.15,AUBL
ca910918-6b96-bd3c-9e0e-37b8308f3310,11510aee-3c9b-4fd6-cb93-bb2d252741a1,88527857423364,21,20659841.49,AUBL
307a2033-3c39-c33e-acbc-70791dab8c4c,11510aee-3c9b-4fd6-cb93-bb2d252741a1,53413840416620,4,-10745498.85,CNRB
8377425e-f5d8-a1f9-8f3f-9f675a5facc1,11510aee-3c9b-4fd6-cb93-bb2d252741a1,93012187469140,4,-59762872.8,AUBL
493a655e-46b5-8698-aebe-185de295743e,11510aee-3c9b-4fd6-cb93-bb2d252741a1,17898344449439,4,9555007.77,AUBL
32abf186-579b-ab8d-9c00-cfa3b0817915,11510aee-3c9b-4fd6-cb93-bb2d252741a1,20261727220109,21,48160385.57,AUBL
f6e12965-f6ea-b5b0-12f6-49a97d407bc9,d4c3ccd2-3a62-c8c8-5d3b-b0253f8fe6db,93666896895180,21,-42903531.56,UTIB
332c74a0-8fc9-446a-c054-1da94866c9c1,d4c3ccd2-3a62-c8c8-5d3b-b0253f8fe6db,95274374054030,46,30550375.27,UTIB
1823217c-43bc-ab2d-7264-07c62442738f,d4c3ccd2-3a62-c8c8-5d3b-b0253f8fe6db,38324570271882,4,18261667.81,UTIB
ac872e61-015e-5292-0d2b-e10a4550d93c,e4544f1d-3fd7-dd3a-883e-0d02f22ea899,41964839829448,46,35005930.53,TMBL
de079272-6e11-aa4c-68b6-86c32716b35b,e4544f1d-3fd7-dd3a-883e-0d02f22ea899,50720521135128,21,39879019.99,TMBL
20a39073-fc6a-97fe-6f67-ef9f2fe4d976,e4544f1d-3fd7-dd3a-883e-0d02f22ea899,47454551206056,4,-22778609.68,TMBL
b53541e9-6eb9-5787-1632-b94ab0023956,273da416-a47f-38f2-507f-23778a900321,27104069436363,21,-59678376.01,UTIB
8a7145de-b314-5838-feff-a43e21f8885a,bf2a5126-923c-4d95-5021-e30d4d24ca6f,90853784554543,4,-16340781.03,HDFC
d47c230d-40c6-e2a7-38ed-1ac10c209ac7,2de48720-f2e7-3c4a-2859-3cac6b1a2fde,32797684063507,46,40565092.7,RATN
20801837-c68e-913c-54a5-fd9d8ad6d21f,5e0168aa-6a90-2ca0-f617-9ac893f8efae,73474516852988,46,-16680156.14,SBIN
f9d46bd4-c69a-3ea0-70e2-ed52495e357f,5e0168aa-6a90-2ca0-f617-9ac893f8efae,16044010996147,46,-22761732.95,SBIN
9e7e0a0b-9bb9-9ab8-d51f-1ef87468df19,5e0168aa-6a90-2ca0-f617-9ac893f8efae,13487619837558,21,-67854013.68,SBIN
d797728f-c597-eb26-be2f-1ba023c91e99,5e0168aa-6a90-2ca0-f617-9ac893f8efae,68835742531922,21,75105902.18,SBIN
5ca98df7-942d-b708-c55d-d60135c11b1f,5e0168aa-6a90-2ca0-f617-9ac893f8efae,40511427181593,4,38028545.66,SBIN
f181817a-60d9-730a-3cb0-19ab70ea734f,5e0168aa-6a90-2ca0-f617-9ac893f8efae,68991345344800,46,35795839.25,SBIN
a0594f85-bce5-b3cb-d86e-6708b0a550e8,9971268f-4843-61b6-25d5-218f899cb0a3,18461908195194,4,43709015.47,ICIC
207ed438-d5ca-cdc8-d46a-7d776a1316bb,9971268f-4843-61b6-25d5-218f899cb0a3,95486624192427,4,28068334.46,CNRB
ec434633-d74f-c3a4-76bf-77538aade964,9971268f-4843-61b6-25d5-218f899cb0a3,77366302020378,4,-4773154.21,ICIC
cbb8cca5-368c-1432-8bb9-6fbb8599b1ab,b84d1f42-0c9b-eb02-1615-0ec2b324842c,88864050972321,21,-1550564.16,UBIN
4cd9fe7e-ad35-2c23-0982-022444d4095c,dfe34c43-01cf-ba0a-efa6-0ca841eb0999,22282349864005,4,-12102574.58,SBIN
8bb166fc-011a-2eed-c2aa-fedd47963f18,0b7704e4-5fa5-2d1a-8e15-57c8a63424e1,38814487200358,4,110389630.18,TMBL
